"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2568","Login with valid credentials. Validate that User is able to login using valid credentials.","Microsoft Edge","2026-06-08","passed","2026-06-08","[LOGIN]","login.spec.ts","",""
"","1725","[Footer] Static Messages. Validate that User is able to see messages in Footer component.","firefox","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","1651","Login with valid credentials. Validate that User is able to login using valid credentials.","chromium","2026-06-08","passed","2026-06-08","[LOGIN]","login.spec.ts","",""
"","2472","[Footer] Links navigation. Validate that User is able to navigate to social platforms using icons.","firefox","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","1806","[Side-Panel] Static Messages. Validate that User is able to see messages in Side-Panel component.","Microsoft Edge","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","4458","[Header] Static Messages. Validate that User is able to see messages in Header component.","firefox","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","1555","Login with invalid credentials. Validate that User is unable to login using invalid credentials.","firefox","2026-06-08","passed","2026-06-08","[LOGIN]","login.spec.ts","",""
"","2804","[Header] Static Messages. Validate that User is able to see messages in Header component.","Google Chrome","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","3717","[Header] Static Messages. Validate that User is able to see messages in Header component.","Microsoft Edge","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","2264","Login with valid credentials. Validate that User is able to login using valid credentials.","Google Chrome","2026-06-08","passed","2026-06-08","[LOGIN]","login.spec.ts","",""
"","1659","[Header] Navigate to Cart Page. Validate that User is able to navigate to Cart Page using Cart icon.","firefox","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","4092","[Side-Panel] Link: About. Validate that User is able to navigate to official website using About link.","Microsoft Edge","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","4103","[Side-Panel] Link: About. Validate that User is able to navigate to official website using About link.","firefox","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","4110","[Side-Panel] Panel Expand/Collapse. Validate that User is able to expand/collapse panel using icons.","firefox","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","1995","[Footer] Static Messages. Validate that User is able to see messages in Footer component.","webkit","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","2734","Login with invalid credentials. Validate that User is unable to login using invalid credentials.","chromium","2026-06-08","passed","2026-06-08","[LOGIN]","login.spec.ts","",""
